Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-16607.864542455485	-15712.438139763535	-895.4264026919514	0.1	0.00800000037997961	0.01
2500	-7251.617133820829	-7234.753577853295	-16.863555967533994	0.587636271949582	3.5621559804830563	0.0013812720959843533
5000	-7252.556290325839	-7234.948839955215	-17.607450370624466	0.2982662967368309	5.160324846660896	0.0011654346233006274
7500	-7246.89972006712	-7231.508804122183	-15.390915944936555	0.5666178284946266	3.2387316013190346	8.934232549249251E-4
10000	-7243.947925464563	-7229.1312291273	-14.816696337263243	0.24569986215093312	4.280359033073703	0.001319399437046282
12500	-7246.3518564122305	-7230.22545962077	-16.1263967914603	0.2235712324369567	4.882854405141174	0.0013563920951346774
15000	-7246.152456847048	-7231.523920152356	-14.628536694691277	0.3916269260540343	4.053346834700084	0.00115388218564635
17500	-7245.794163431659	-7231.675271051664	-14.118892379995104	0.2599454071982169	4.068083419293695	9.75255390673397E-4
20000	-7243.7046914651055	-7228.393954172664	-15.310737292441152	0.23930085901595224	4.237047921208335	0.0014074202280156421
22500	-7245.084882401884	-7228.961866505723	-16.123015896160993	0.3948722546884667	4.355173611676122	0.00115091994072017
25000	-7252.608424882093	-7237.422027920523	-15.186396961569734	0.3494719996509165	3.2501171501670525	0.0010421322512121928
27500	-7247.523507306164	-7231.063967551495	-16.459539754669535	0.23071466699487736	5.1563594744269805	9.260903072650414E-4
30000	-7252.1526015922445	-7234.097446408318	-18.055155183926008	0.5781338572127466	4.350444689401012	9.829488863615458E-4
32500	-7247.416786831505	-7233.798815219242	-13.61797161226343	0.38284689142225437	3.713541909455546	6.823746910683062E-4
35000	-7248.4238904609	-7233.564752789211	-14.859137671689215	0.2200866427596738	4.745454175680417	9.444641590340724E-4
37500	-7251.100428129853	-7234.732558261935	-16.3678698679176	0.16495343968019976	4.78886258219	0.0011676014084504253
40000	-7251.373623460043	-7234.47151576992	-16.90210769012263	0.2338872743160567	5.508642993257516	9.271714204687604E-4
42500	-7250.284013583163	-7235.6120414477755	-14.67197213538753	0.29333213905436173	4.436064942992274	0.001145851168868577
45000	-7251.732568117583	-7236.279406099444	-15.453162018138867	0.1629333907643527	3.9674295434612104	0.0010731863253133406
47500	-7244.608122797298	-7228.473832255673	-16.13429054162508	0.5076461764198816	3.9032539740651244	0.0013155085526262813
50000	-7243.550700128372	-7228.55744114996	-14.99325897841203	0.30907739885983915	4.124216590982426	0.0013489727330872143
52500	-7246.140456096575	-7229.783609759564	-16.356846337011255	0.36873697694434293	4.627722361186729	8.838219950802021E-4
55000	-7244.954879470327	-7229.862872110963	-15.092007359364464	0.3073931720666422	4.443386291527099	0.00137216037870812
57500	-7243.553366741555	-7228.461931745854	-15.091434995701006	0.23628280701733018	4.527079425106209	0.0010834853310446304
60000	-7244.72697156212	-7230.370169280542	-14.356802281577975	0.24287133253719023	4.281180783087449	0.0011674061758664325
62500	-7247.305870718859	-7233.532458112387	-13.773412606472172	0.31909106241782986	3.4921739797943427	0.0010438162574281733
65000	-7246.919860779094	-7231.7148030422295	-15.205057736864209	0.18984560150065716	4.150545442921328	6.49979791870244E-4
